_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks,,,,,,,,,,
5f9fc204fb43357b9094a2bc,02-11-2020 13:53,Business Development (Sales),Yes Property Ventures Private Limited,Bangalore,Immediately, 8000 /month,3 Months,15 Nov' 20,Internship with job offer,"[""Certificate"","" Job offer""]",,,,,,,,,,
5f9fc204fb43357b9094a2bd,02-11-2020 13:53,Online Marketing,Digi Streaks,Agra,Immediately, 2000 /month,1 Month,15 Nov' 20,Internship,"[""English Proficiency (Spoken)"",""Hindi Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]",,,,,,,,,,
5f9fc206fb43357b9094a2be,02-11-2020 13:53,Graphic Design,Thirumathi Herbal & Natural Products,Bangalore,Immediately, 11000 /month,6 Months,15 Nov' 20,Internship,"[""Adobe Photoshop"",""CorelDRAW"",""Adobe Illustrator"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc208fb43357b9094a2bf,02-11-2020 13:53,Graphic Design,Thirumathi Herbal & Natural Products,Bangalore,Immediately, 11000 /month,6 Months,15 Nov' 20,Internship,"[""Adobe Photoshop"",""CorelDRAW"",""Adobe Illustrator"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc20afb43357b9094a2c0,02-11-2020 13:53,Career Returnee Program (Women),SAVITARKA BUSINESS SOLUTIONS PRIVATE LIMITED,Bangalore,Immediately, 20000 /month,6 Months,15 Nov' 20,Internship,"[""Certificate""]",,,,,,,,,,
5f9fc20afb43357b9094a2c1,02-11-2020 13:53,Financial Advisor Training,I Cap Financial Services,Bangalore,Immediately, 5000-10000 /month,3 Months,15 Nov' 20,Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc20bfb43357b9094a2c2,02-11-2020 13:53,Graphic Design,QShala,Chennai,Immediately, 10000-15000 /month,3 Months,15 Nov' 20,Internship with job offer,"[""Adobe Photoshop"",""Adobe Creative Suite"",""Adobe After Effects"",""Adobe Photoshop Lightroom CC"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week"","" Job offer""]",,,,,,,,,,
5f9fc20cfb43357b9094a2c3,02-11-2020 13:53,Civil Engineering,HomeInspeKtor,Bangalore,Immediately, 8000-10000 /month,6 Months,15 Nov' 20,Internship with job offer,"[""Certificate"","" Letter of recommendation"","" Job offer""]",,,,,,,,,,
5f9fc20dfb43357b9094a2c4,02-11-2020 13:53,Interior Design,NVT QUALITY LIFESTYLE PROJECTS PRIVATE LIMITED,Bangalore,Immediately, 5000 /month,3 Months,15 Nov' 20,Internship,"[""Certificate""]",,,,,,,,,,
5f9fc20efb43357b9094a2c5,02-11-2020 13:53,iOS App Development,Fincomienzo Solutions Private Limited,Chennai,Immediately, 2000 /month +  Incentives,4 Months,15 Nov' 20,Internship with job offer,"["".NET"",""iOS"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]",,,,,,,,,,
5f9fc212fb43357b9094a2c6,02-11-2020 13:53,Marketing,Digifuse,Agra,Immediately, 2000 lump sum,1 Month,14 Nov' 20,Internship with job offer,"[""Social Media Marketing"",""MS-Office"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week"","" Job offer""]",,,,,,,,,,
5f9fc213fb43357b9094a2c7,02-11-2020 13:53,Business Development (Sales),Woodenstreet Furniture,Bangalore,Immediately, 15000-25000 /month,6 Months,14 Nov' 20,Internship with job offer,"[""Job offer""]",,,,,,,,,,
5f9fc213fb43357b9094a2c8,02-11-2020 13:53,Subject Expert For Creating Tutorials (Python),Coursechamps Internet Ventures Private Limited,Bangalore,Immediately, 18000 /month,3 Months,14 Nov' 20,Internship,"[""Python"",""Flexible work hours"","" Informal dress code"","" 5 days a week""]",,,,,,,,,,
5f9fc214fb43357b9094a2c9,02-11-2020 13:53,Business Development (Sales),Fostpro,Bangalore,Immediately, 8000-12000 /month,2 Months,30 Nov' 20,Internship,[],,,,,,,,,,
5f9fc215fb43357b9094a2ca,02-11-2020 13:53,Digital Marketing,Global Shiksha India Private Limited,Bangalore,Immediately, 8000 /month,3 Months,14 Nov' 20,Internship,"[""Google AdWords"",""Facebook Marketing"",""Instagram Marketing"",""Certificate""]",,,,,,,,,,
5f9fc216fb43357b9094a2cb,02-11-2020 13:53,Business Development (Sales),Homesifyi.com,Bangalore,Immediately, 4000-9000 /month,3 Months,14 Nov' 20,Internship with job offer,"[""MS-PowerPoint"",""MS-Excel"",""Certificate"","" Flexible work hours"","" Job offer""]",,,,,,,,,,
5f9fc216fb43357b9094a2cc,02-11-2020 13:53,Operations,JustWash Car Care Llp,Bangalore,Immediately, 4000 /month,2 Months,14 Nov' 20,Internship with job offer,"[""Certificate"","" Letter of recommendation"","" Job offer""]",,,,,,,,,,
5f9fc218fb43357b9094a2cd,02-11-2020 13:53,Social Media Marketing,STEM SHOP STORE,Delhi,Immediately, 15000 /month,3 Months,14 Nov' 20,Internship,"[""HTML"",""Adobe Photoshop"",""Adobe Illustrator"",""Digital Marketing"",""Adobe Creative Suite"",""Search Engine Optimization (SEO)"",""Creative Writing"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]",,,,,,,,,,
5f9fc219fb43357b9094a2ce,02-11-2020 13:53,Web Development,Decorpot,Bangalore,Immediately, 10000 /month,3 Months,14 Nov' 20,Internship,"[""Node.js"",""ReactJS"",""Angular 2.0"",""Certificate"","" Letter of recommendation"","" Informal dress code""]",,,,,,,,,,
5f9fc21afb43357b9094a2cf,02-11-2020 13:53,Acting & Cinematography,Godhuli Group,Bangalore,Immediately, 2000 /month,3 Months,14 Nov' 20,Internship,"[""Certificate"","" Letter of recommendation""]",,,,,,,,,,
